Name,FT,FT,PT,PT,MAE,MAE,MSE,MSE,MAPE,MAPE,ME,ME,i
Param,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,
"MLP[y,SolarDay%,qACId(2)]",5.367410659790039,0.0,0.00021452624817744603,2.0165875992947357e-05,0.5582982745627765,0.27096312970427205,1.2524385210795814,0.9772931952234456,203680552484199.22,499807811827045.9,3.596618648524531,1.4274117374109694,0
"MLP[SolarDay%,qACId(2)]",5.367410659790039,0.0,0.00021452624817744603,2.0165875992947357e-05,0.5982533787380271,0.29027475958390064,1.393679141175862,1.168999095451915,273287429100738.94,602744613192572.5,3.609598503284674,1.434937814176209,0
"MLP[y,qACId(2)]",5.367410659790039,0.0,0.00021452624817744603,2.0165875992947357e-05,0.5789037596199751,0.3309880817038577,1.3759408975675786,1.2373380844509956,154152426359969.22,239275378317117.62,3.8575095519046543,2.0239730002909324,0
"LR(12)[SolarDay%,qACId(2)]",0.8549177646636963,0.0,0.000560403202237525,0.0003635573052188706,0.5927830702702076,0.2716502097191241,1.393770944201994,1.0930836957357537,230986388761606.78,631344329914702.1,3.600204172436707,1.3467349760690868,0
"LR(6)[SolarDay%,qACId(2)]",0.156538724899292,0.0,0.00032805134659025996,1.5442371898149512e-05,0.6015525194372863,0.27627351355178853,1.397467075753264,1.0961297960336145,240401146767439.97,632877450546223.5,3.594332164540519,1.3389134169395234,0
"DT[SolarDay%,qACId(2)]",0.2318253517150879,0.0,0.00031188869210670915,0.0002770512735787501,0.7025236402119717,0.43666587263534007,2.533043280533068,2.1998631013631984,184506398566977.0,598481320483977.8,5.614631053678044,2.475095677240004,0
"RF[SolarDay%,qACId(2)]",12.444344997406006,0.0,0.014409569312603029,0.002197529012456448,0.6306991165532959,0.3510629353291084,1.881470726620867,1.582955358226537,203098547877678.66,611433358286465.9,5.159231454217309,1.7932829169140263,0
"tf::LSTM(10,10)[y,qACId(2)]*n=10,step=2",17.113826274871826,0.0,0.05349750903987619,0.055606352533994485,0.6055772243709409,0.3944968417556419,1.6031196556768175,1.573128112861602,134284560787677.89,173652234361577.34,4.044186521700945,2.2604063780737245,0
"tf::LSTM(10,10)[y,qACId(2)]*n=10,step=28",17.987849235534668,0.0,0.047843662145078014,0.06514637753700332,0.6122962280610093,0.42698718343970915,1.8526856267220027,2.0058719564213203,108775069767556.02,180295353248455.5,4.273445769035161,2.372019980975696,0
"tf::LSTM(20,10)[y,qACId(2)]*n=20,step=28",26.923665285110474,0.0,0.05417031365184731,0.05349994000463122,0.689015439436826,0.5055051006568417,2.3284478313661574,2.6106336691132235,163040930716569.28,181254087011270.1,4.588682347936246,2.552858781829941,0
"MLP[y,SolarDay%,qACId(3)]",5.701567649841309,0.0,0.00020631242927402507,1.0633005352450987e-05,0.5624211681374017,0.28869894870827334,1.3048317222164303,1.070004691650443,213112083095110.9,567972954044190.6,3.6599991646998133,1.5016687988940227,1
"MLP[SolarDay%,qACId(3)]",5.701567649841309,0.0,0.00020631242927402507,1.0633005352450987e-05,0.5847136236576657,0.3072928324681424,1.4217134824405755,1.2860602978579279,246248683807750.56,680457238662013.8,3.624923140116134,1.5854932304741487,1
"MLP[y,qACId(3)]",5.701567649841309,0.0,0.00020631242927402507,1.0633005352450987e-05,0.5808930115461962,0.3372035784374863,1.3766276125836525,1.269547677838024,177850289791429.72,252908457435906.12,3.8716815059614174,2.026190984117436,1
"LR(12)[SolarDay%,qACId(3)]",1.2543108463287354,0.0,0.0005303232782730485,0.00011766305987732548,0.5861970234958649,0.2952180159935789,1.4200221947887126,1.223119611900815,238056958160315.9,713124557948797.2,3.608609843782636,1.5006367552847428,1
"LR(6)[SolarDay%,qACId(3)]",0.17326831817626953,0.0,0.00032117107784515635,7.129599000586848e-06,0.5947162864531383,0.2986083427894257,1.4235002965524641,1.2227781278816638,247223531071466.6,715353044323856.4,3.6156616832939963,1.4770080381401471,1
"DT[SolarDay%,qACId(3)]",0.21561717987060547,0.0,0.0002831250512168268,2.8668451345426014e-05,0.72706311671644,0.4069359486581393,2.689830042406984,2.0448678565628193,215585102644619.22,667292575129610.4,6.122848107796627,2.4033753662543904,1
"RF[SolarDay%,qACId(3)]",12.180016279220581,0.0,0.013543135608471204,0.0022478074829285805,0.6441977000152349,0.33849418217416005,1.9800627940127866,1.5254586721490695,225533590954178.4,685879213313488.1,5.459696249814083,1.8528690440059956,1
"tf::LSTM(10,10)[y,qACId(3)]*n=10,step=2",20.7448992729187,0.0,0.05112238846781526,0.04935343398760751,0.6054113148453723,0.4147389463606973,1.6873692472428585,1.8064730244319094,131417648250672.73,181062055036919.22,4.1366582425648035,2.3489176053494,1
"tf::LSTM(10,10)[y,qACId(3)]*n=10,step=28",17.368990898132324,0.0,0.0430199482314766,0.04950351473099729,0.6138987990742015,0.4252926106323604,1.8483177494042593,2.012662562666318,128306466896820.7,187633983384730.75,4.295272658348114,2.338061359840931,1
"tf::LSTM(20,10)[y,qACId(3)]*n=20,step=28",32.545926332473755,0.0,0.050258783244821026,0.04987615014868303,0.6937386781509586,0.4485708058495116,2.13301585720918,2.2374241519238365,245645654419781.66,251740969754709.28,4.5703638405343145,2.306076211465326,1
"MLP[y,SolarDay%,qACId(4)]",5.482378721237183,0.0,0.00021000293636056375,9.999417197850218e-06,0.5502334483515687,0.2837039692092254,1.2380029404889636,1.0305567025971318,213973462911154.28,536556789278043.5,3.5322045943034595,1.47713816010363,2
"MLP[SolarDay%,qACId(4)]",5.482378721237183,0.0,0.00021000293636056375,9.999417197850218e-06,0.6063078900877571,0.2766180910561513,1.387074077587565,1.2045472113716253,350288329816197.7,781013823337877.9,3.598194688879251,1.4055976347068566,2
"MLP[y,qACId(4)]",5.482378721237183,0.0,0.00021000293636056375,9.999417197850218e-06,0.570441512494126,0.33848255098051566,1.3472477408053174,1.2827340286416382,157907270232409.03,245496467144975.3,3.8275611012380404,2.025626428047731,2
"LR(12)[SolarDay%,qACId(4)]",0.9133729934692383,0.0,0.0005490308352499619,0.00020314517202450188,0.5672904969083805,0.2934441256422297,1.354083078012839,1.229879422531793,234476033666384.0,735163277504847.5,3.562468108692208,1.521332895451799,2
"LR(6)[SolarDay%,qACId(4)]",0.15165495872497559,0.0,0.0003216784644591775,8.32418980870462e-06,0.5771111058786883,0.2961255663307569,1.356067154832819,1.2282467847660206,247285506061354.9,739698577467752.2,3.5558055667440955,1.5063293719871234,2
"DT[SolarDay%,qACId(4)]",0.2151660919189453,0.0,0.0002716025934245925,2.4263914769771496e-05,0.7199890550593142,0.39220079794732693,2.6539827198074217,1.9307270785584174,208209260739734.8,684104883117435.0,6.398751828897412,2.3194807212806747,2
"RF[SolarDay%,qACId(4)]",11.449874877929688,0.0,0.012737379100661424,0.002218040715214793,0.635047142189389,0.3313239596491742,1.9414314582462855,1.4738422629064942,217759550608500.22,699199375509942.4,5.556783952698287,1.7678553762568332,2
"tf::LSTM(10,10)[y,qACId(4)]*n=10,step=2",16.563631772994995,0.0,0.053199182977915475,0.05443121835079871,0.6140622340343607,0.4414353329193294,1.8169836035161007,1.9969105452011207,111422807769524.6,143227331796747.88,4.220259141436903,2.482986505353767,2
"tf::LSTM(10,10)[y,qACId(4)]*n=10,step=28",16.771068811416626,0.0,0.04632152687540293,0.057922854238347504,0.624155127244855,0.4464200532972331,1.9261573706631352,2.1542480405806437,112762693478743.73,175683685666145.0,4.288315706424027,2.4012133305209002,2
"tf::LSTM(20,10)[y,qACId(4)]*n=20,step=28",26.23988366127014,0.0,0.0533495606818239,0.058326779850884594,0.6832080775820076,0.46452015865154356,2.1246875141029036,2.2772502112066437,190639102748489.9,216355472760248.9,4.4607381732174805,2.364605983751119,2
"MLP[y,SolarDay%,qACId(5)]",18.17561984062195,0.0,0.000373988430480107,2.1952867647130076e-05,0.5593871697462803,0.28793337879565,1.2730853510145839,1.0285413614505732,224660589535816.6,512994697250587.9,3.6036488483540245,1.4579530726287389,3
"MLP[SolarDay%,qACId(5)]",18.17561984062195,0.0,0.000373988430480107,2.1952867647130076e-05,0.6083165574062047,0.2811871810845014,1.418865165126347,1.2174167038402748,331882696325589.5,801420358150234.5,3.5939871687251275,1.4073090919629645,3
"MLP[y,qACId(5)]",18.17561984062195,0.0,0.000373988430480107,2.1952867647130076e-05,0.6016092320270281,0.3357602925267264,1.3767309244140116,1.2247879649095141,240816226550234.03,271479180185149.94,3.857942497754927,1.9658512588992385,3
"LR(12)[SolarDay%,qACId(5)]",0.8782293796539307,0.0,0.0005281177403867078,1.7465164482907295e-05,0.5783682469359621,0.29472079505212423,1.3869768533132576,1.2277704221177714,241844079807533.94,758321811820726.2,3.555249615682873,1.5151715739184493,3
"LR(6)[SolarDay%,qACId(5)]",0.12561964988708496,0.0,0.0003257873662667022,8.739744266994477e-06,0.5869496807710133,0.29785702652674206,1.3893278882276985,1.2273206031444368,251652211924232.88,760874240522027.0,3.547229005542031,1.5004249309520497,3
"DT[SolarDay%,qACId(5)]",0.20230770111083984,0.0,0.0002734860337876344,2.6589245242802275e-05,0.7444627893769173,0.3955471713887014,2.800965556100609,1.9596690886435404,224184885209368.66,758498860390226.6,6.650701891977877,2.148280656383241,3
"RF[SolarDay%,qACId(5)]",11.423728704452515,0.0,0.012089692118440167,0.002164555429727452,0.6495890634829,0.33555676595209266,2.022924810468172,1.5027617481207634,229692378927282.22,758376567044783.2,5.699771328593443,1.668185151176997,3
"tf::LSTM(10,10)[y,qACId(5)]*n=10,step=2",17.068842887878418,0.0,0.053795880261902025,0.07998279013300932,0.6266348233141974,0.4360625225330733,1.8023711802546403,1.9368142998930107,152454527767113.25,174307552666260.0,4.147613904248416,2.40510228299551,3
"tf::LSTM(10,10)[y,qACId(5)]*n=10,step=28",16.622325897216797,0.0,0.044159894534140244,0.049900652494675894,0.6226278502123258,0.4280893304591307,1.8851710924595528,2.045987091963863,134479631591316.6,182829088498456.1,4.317447019435493,2.3552447902013904,3
"tf::LSTM(20,10)[y,qACId(5)]*n=20,step=28",26.26969289779663,0.0,0.051370963412739105,0.04851555962672828,0.689795706148404,0.4899723018753194,2.2767189944440998,2.499812247511057,174233835036924.6,182547063033296.3,4.556934486223831,2.484721822319591,3
"MLP[y,SolarDay%,qACId(6)]",25.902955293655396,0.0,0.0004030841306723592,2.2392074675627954e-05,0.5662020308189586,0.284019420420041,1.2603669807462803,1.0164313153259597,245281429152208.66,509806341499260.1,3.6006681106900915,1.4469090689062822,4
"MLP[SolarDay%,qACId(6)]",25.902955293655396,0.0,0.0004030841306723592,2.2392074675627954e-05,0.5816211002094506,0.2874393856267833,1.3674172353543232,1.2211912613084337,257950807975712.97,737637083911056.8,3.5471227458969654,1.533529449182812,4
"MLP[y,qACId(6)]",25.902955293655396,0.0,0.0004030841306723592,2.2392074675627954e-05,0.5867913531133827,0.3363651267175667,1.339550256055886,1.2899792580646845,245537830431395.16,247637345685139.7,3.814896162051154,2.0457975107428,4
"LR(12)[SolarDay%,qACId(6)]",0.818875789642334,0.0,0.0005301499433172114,0.00012705706812723308,0.5729891631113456,0.2992345286828815,1.3586305322130152,1.2356660792254035,246125222998225.56,739088760853001.5,3.530764768539084,1.5463215248053452,4
"LR(6)[SolarDay%,qACId(6)]",0.133528470993042,0.0,0.0003193945605774776,9.516024437815614e-06,0.5778606855726719,0.30235052509220134,1.3588516581365595,1.2466255565248856,245854414930003.25,737412739480571.6,3.5155337815448435,1.5365444438414677,4
"DT[SolarDay%,qACId(6)]",0.2033379077911377,0.0,0.0002668428553844229,2.9943780283868508e-05,0.7328916622760421,0.3847141000229772,2.7462063625939743,1.8750139568487654,218597194128050.28,707553231544486.6,6.757799429928579,2.049186538508681,4
"RF[SolarDay%,qACId(6)]",11.353610277175903,0.0,0.011672929800984588,0.0021307309378547756,0.6406581053571666,0.32885416234074005,1.9722921018750748,1.4558930738378055,225124111566273.8,716068742819473.0,5.751977893790221,1.6112501331800793,4
"tf::LSTM(10,10)[y,qACId(6)]*n=10,step=2",16.27685308456421,0.0,0.053250092981917616,0.06130598703592393,0.6064443954107014,0.4103876506610514,1.6636375432585668,1.723236334439679,131819172176493.84,164848602587831.8,4.0675806543884105,2.318029299452401,4
"tf::LSTM(10,10)[y,qACId(6)]*n=10,step=28",16.102171421051025,0.0,0.046424886310332994,0.06653731677445308,0.615149290736415,0.4362537894096296,1.8996582983092274,2.1020749682118325,108763788733976.73,174015594700719.56,4.327306739269752,2.4019132800137486,4
"tf::LSTM(20,10)[y,qACId(6)]*n=20,step=28",25.375489473342896,0.0,0.050723777175945825,0.04919032142216119,0.6820437848244675,0.48606501987588085,2.250923641215115,2.4447214381467104,145934647318881.28,180791485696462.4,4.556898836115324,2.4484448414982682,4
"MLP[y,SolarDay%,qACId(7)]",22.20080327987671,0.0,0.0003959495045016403,2.4032054385596236e-05,0.5417529784882038,0.29044175334003963,1.2248174284193478,1.0442922264247037,197756568692972.2,413045692603257.3,3.586903699242925,1.5333260816943677,5
"MLP[SolarDay%,qACId(7)]",22.20080327987671,0.0,0.0003959495045016403,2.4032054385596236e-05,0.5712119324963728,0.29947717663713314,1.3529177099574954,1.1767917679303086,249530122601407.38,726374095060446.5,3.5195897865126287,1.5713675231708633,5
"MLP[y,qACId(7)]",22.20080327987671,0.0,0.0003959495045016403,2.4032054385596236e-05,0.5877198089668426,0.3407170078834308,1.3643746336811287,1.3002755614150145,214635022293859.0,259410166834290.4,3.8017114563522374,2.0520072712391246,5
"LR(12)[SolarDay%,qACId(7)]",0.8312921524047852,0.0,0.0005747853547417686,0.0004928345993659668,0.567960042523967,0.29856460589229555,1.3572832768717624,1.1804011053708405,229714756934353.9,740860453473091.8,3.5330647064224276,1.5448833627421774,5
"LR(6)[SolarDay%,qACId(7)]",0.17511725425720215,0.0,0.0003289731432136387,9.222815033908979e-06,0.581184125633441,0.3013340649097762,1.3591679129543364,1.1831028033168065,259292237269188.8,741083903775274.0,3.514293499224996,1.5345344128390623,5
"DT[SolarDay%,qACId(7)]",0.19550108909606934,0.0,0.00026409473259800985,2.6930457710806307e-05,0.7342168567618186,0.3837129378294405,2.7190918776668003,1.8450649800499577,216712961540311.44,712793576874793.2,6.678119138335767,2.0290281995089527,5
"RF[SolarDay%,qACId(7)]",11.53860330581665,0.0,0.01148364537273609,0.0019833097565553695,0.638619061846634,0.3266187418830167,1.9356865633365323,1.3961361175684976,220562412675053.6,719455137989549.0,5.590762488952067,1.671390446622844,5
"tf::LSTM(10,10)[y,qACId(7)]*n=10,step=2",17.045191526412964,0.0,0.05279211612797049,0.04903815365417165,0.6025628493007625,0.41394941237398614,1.6694700207817925,1.764276573237073,118271377219282.88,167542400188126.7,4.114985588965014,2.3864039825902097,5
"tf::LSTM(10,10)[y,qACId(7)]*n=10,step=28",17.425524711608887,0.0,0.04802368743173923,0.06846353140051865,0.6223284231788127,0.42610817800222905,1.8721337988078084,2.02584186457142,131092657727142.22,187760045659722.88,4.291551131994108,2.3434888593356002,5
"tf::LSTM(20,10)[y,qACId(7)]*n=20,step=28",26.213769674301147,0.0,0.055000346351134745,0.07190687332291182,0.6832866515321373,0.47323759636038987,2.1922432374841088,2.36474356804038,176236243941144.28,198444643619132.2,4.48510110760206,2.432309239022463,5
"MLP[y,SolarDay%]",5.737269878387451,0.0,0.00021514985554729665,1.0435031959303428e-05,0.5672660330129331,0.2719724629496979,1.300550061685356,0.9750682199900064,159132281282091.62,299180680159250.6,3.7985320055402423,1.563278383224487,6
MLP[SolarDay%],5.737269878387451,0.0,0.00021514985554729665,1.0435031959303428e-05,0.6950804889658999,0.23648296730374652,1.8075456483580157,1.02023417669671,269300352403583.5,603883073135745.2,4.087235909863829,0.9766448095075246,6
MLP[y],5.737269878387451,0.0,0.00021514985554729665,1.0435031959303428e-05,0.5943497635344385,0.35025862465375085,1.4150795333297046,1.240641857266127,133922423979673.4,249487080755183.06,3.9197125828609223,1.984388875086697,6
LR(12)[SolarDay%],0.04186272621154785,0.0,0.0002826229775516436,1.3404645496551344e-05,0.6935871441701681,0.24022401033666188,1.8062767969289806,1.0373662268537693,266764763294375.22,598643385796084.4,4.083689929977091,0.9956499348686053,6
LR(6)[SolarDay%],0.01833033561706543,0.0,0.00024182683578108678,1.1748341686119186e-05,0.6988630270197854,0.24384887685432374,1.8093484310833656,1.0437876629617835,272011778713006.22,599572935339019.5,4.094086508013839,0.9692931682268211,6
DT[SolarDay%],0.20002245903015137,0.0,0.0002998077105678888,3.126547690396779e-05,0.7040864759802924,0.45724158135032444,2.522534177068031,2.325862211518497,167333830840924.8,536560300697728.06,5.270575701126868,2.300767331060986,6
RF[SolarDay%],12.37040638923645,0.0,0.015219182357150533,0.002227137593208347,0.6607585485903987,0.3363772541020587,1.9462966618981175,1.532003272305698,206704087813350.28,547981789409700.4,5.124153162721337,1.6284831381964802,6
"tf::LSTM(10,10)[y]*n=10,step=2",17.030465841293335,0.0,0.04396546252258641,0.04981782116135976,0.6115552460564241,0.39004398706849563,1.6343859645111232,1.5792335507281736,142376335846759.2,197089151845316.94,4.076438545749032,2.1764086278642307,6
"tf::LSTM(10,10)[y]*n=10,step=28",17.657370805740356,0.0,0.048477036043129924,0.07439155485667998,0.6112973097204365,0.4231653546939935,1.8331789775297709,1.9571448995959815,105784150503722.77,188454668560921.5,4.308154290818367,2.3293052768830433,6
"tf::LSTM(20,10)[y]*n=20,step=28",26.67574715614319,0.0,0.05201032566824995,0.04996695844369713,0.6773159977477893,0.49064594762313285,2.293335637286243,2.515910393287417,123199796501623.89,173048148014282.84,4.64516074670214,2.51256419580197,6
"MLP[y,SolarDay%,qACId(8)]",25.963895082473755,0.0,0.000394498405350284,2.6934595921132624e-05,0.5387070119923136,0.28518127417016165,1.2220444125198515,1.03234774673898,185366134201107.62,454817868864049.4,3.5909871047507487,1.52848625440326,7
"MLP[SolarDay%,qACId(8)]",25.963895082473755,0.0,0.000394498405350284,2.6934595921132624e-05,0.5646750682511804,0.31446089160864854,1.3582957119920043,1.3166524941445854,269941583694112.2,736573004797978.6,3.5520715817022204,1.70585241836585,7
"MLP[y,qACId(8)]",25.963895082473755,0.0,0.000394498405350284,2.6934595921132624e-05,0.5730453238352302,0.3435089373290437,1.3375664237995055,1.3131381049107755,197208868582387.9,238644837565761.9,3.796422447488762,2.0762362994358625,7
"LR(12)[SolarDay%,qACId(8)]",0.8257768154144287,0.0,0.0005588564700070862,0.00040552021265216804,0.5673051461717998,0.2962251436625148,1.3526497967895632,1.2354166517238934,233533516973676.94,751388601239585.1,3.543362686396987,1.5530919085234836,7
"LR(6)[SolarDay%,qACId(8)]",0.14860796928405762,0.0,0.00032906611981830224,7.285280416066754e-06,0.5829658215135289,0.2993289580516589,1.359599803348153,1.2397385993998664,274010031898073.53,762111714355991.9,3.527869304110982,1.5419646981500992,7
"DT[SolarDay%,qACId(8)]",0.26767683029174805,0.0,0.00033768305871480025,0.0012760771045621847,0.72761232951417,0.37832029887835184,2.699851498377873,1.8290404400360494,215030328053999.06,702870589610280.8,6.755748061368322,2.0141843066471203,7
"RF[SolarDay%,qACId(8)]",11.896592140197754,0.0,0.011520304055599118,0.0020712993987269794,0.6281037347877354,0.32062122142177574,1.8923385304645575,1.4041957717892255,222497270762441.97,720414569121755.0,5.60247905017059,1.6160085567945648,7
"tf::LSTM(10,10)[y,qACId(8)]*n=10,step=2",17.682461261749268,0.0,0.05269100340628026,0.05055974956152915,0.6145227844437545,0.42804461097315094,1.758543810770916,1.8753342379632845,133427057268596.66,168373254725115.4,4.181072417908331,2.444034250393032,7
"tf::LSTM(10,10)[y,qACId(8)]*n=10,step=28",16.753954648971558,0.0,0.04931162990899471,0.1380703429500496,0.6188402656290747,0.41214489788703346,1.81480304783059,1.878226525939198,131509934321288.45,219147945060242.94,4.282771811409687,2.255792110719701,7
"tf::LSTM(20,10)[y,qACId(8)]*n=20,step=28",26.907074213027954,0.0,0.05178648250016661,0.04952291528262287,0.6807712230119555,0.5007215674099759,2.2656361638228515,2.520853523208515,139459691556666.52,161918245015796.06,4.514794908960205,2.50840153790384,7
